id,name,prefecture,city,other_address,access,tel,business_hour,hp,wifi,socket,smoking,iccard
0,マイ・スペース ニュー秋葉原店,東京都,千代田区,外神田1-16-10ニュー秋葉原センタービル地下1階,JR秋葉原駅電気街口出てワシントンホテル方面徒歩1分,03-3251-0210,"月-土：9：00-22：00
日祭日：9：00-21：00",https://www.ginza-renoir.co.jp/shopsearch/shops/view/2048,TRUE,TRUE,TRUE,FALSE
1,マイ・スペース ニュー新宿３丁目店,東京都,新宿区,新宿3-4-1東新宿ビル地下2階,都営地下鉄新宿3丁目駅徒歩0分,03-3355-1299,全日：9：00-22：00,https://www.ginza-renoir.co.jp/shopsearch/shops/view/2121,TRUE,TRUE,TRUE,FALSE
2,マイ・スペース 横浜関内駅前店,神奈川県,横浜市,中区港町2-6横浜関内ビル2階,JR関内駅南口徒歩0分スタジアム側下りてすぐ関内駅前ビル2階,045-641-0223,全日：9：00-22：00,https://www.ginza-renoir.co.jp/shopsearch/shops/view/2078,TRUE,TRUE,TRUE,TRUE
3,マイ・スペース 銀座６丁目店,東京都,中央区,銀座6-12-10旭ビル1階,地下鉄銀座線銀座駅Ａ3出口徒歩約4分、中央通りを新橋方面に進み、GINZASIXと銀座ライオンの間の道を左折して約100m直進左手,03-3574-7876,全日：9：00-22：00,https://www.ginza-renoir.co.jp/shopsearch/shops/view/2043,TRUE,TRUE,TRUE,FALSE
4,マイ・スペース 銀座マロニエ通り店,東京都,中央区,銀座3丁目9番4号銀座草野ビルディング4階,銀座松屋デパート左手の銀座マロニエ通りを昭和通り方面へ進み右手天丼てんや角右折5ｍ右手ビル4Ｆ,03-6264-1259,全日:9:00-22:00,https://www.ginza-renoir.co.jp/shopsearch/shops/view/2007,TRUE,TRUE,TRUE,FALSE
5,マイ・スペース 高田馬場駅前店,東京都,新宿区,高田馬場2-17-4菊月ビル地下1階,JR高田馬場駅東口徒歩1分,03-5292-5772,全日：9：00-22：00,https://www.ginza-renoir.co.jp/shopsearch/shops/view/2074,TRUE,TRUE,TRUE,TRUE
6,マイ・スペース 四谷店,東京都,新宿区,四谷1-3-22,JR四ッ谷駅四ッ谷口より徒歩2分しんみち通り入口すぐ左,03-3351-1052,全日：9：00-22：00,https://www.ginza-renoir.co.jp/shopsearch/shops/view/2085,TRUE,TRUE,TRUE,FALSE
7,マイ・スペース 市ヶ谷駅前店,東京都,千代田区,五番町4番地2東プレビル1階,JR総武線市ヶ谷駅から新坂を上り徒歩2分右側,03-3263-5980,"月-金：9：00-22：00
土曜日：9：00-21：30
日祭日：9：00-19：30",https://www.ginza-renoir.co.jp/shopsearch/shops/view/2042,TRUE,TRUE,TRUE,FALSE
8,マイ・スペース 市ヶ谷外堀通り店,東京都,新宿区,市谷田町1-3片倉ビル2階,JR総武線市ヶ谷駅から市ヶ谷橋を渡り市谷見附交差点を右に曲がりすぐ左手2階,03-5225-7665,"月-金:9:00-22:00
土曜日:9:00-21:30
日祭日:9:00-19:30",https://www.ginza-renoir.co.jp/shopsearch/shops/view/2022,TRUE,TRUE,TRUE,FALSE
9,マイ・スペース 秋葉原電気街口店,東京都,千代田区,外神田1-18-19新秋葉原ビルB1F,JR秋葉原駅電気街口でて徒歩0分,03-5577-5307,全日09：00-21：30,https://www.ginza-renoir.co.jp/shopsearch/shops/view/2068,TRUE,TRUE,TRUE,FALSE
10,マイ・スペース 渋谷公園通り店,東京都,渋谷区,宇田川町19-5東京山手教会地下1階,JR渋谷駅ハチ公口徒歩3分公園通り中程,03-3770-2081,全日：9：00-22：00,https://www.ginza-renoir.co.jp/shopsearch/shops/view/2093,TRUE,TRUE,TRUE,FALSE
11,マイ・スペース 渋谷東口駅前店,東京都,渋谷区,渋谷3-19-1オミビル地下1階,"JR渋谷駅東口より徒歩4分、地下鉄渋谷駅16b出口より徒歩2分
 
 明治通りを挟み渋谷警察署向かい角オミビルB1F",03-3498-1324,"月-土：9：00-22：00
日祭日：9：00-21：30",https://www.ginza-renoir.co.jp/shopsearch/shops/view/2047,TRUE,TRUE,TRUE,FALSE
12,マイ・スペース 新橋汐留口駅前店,東京都,港区,新橋2丁目21番1号新橋駅前ビル2号館2階,JR新橋駅汐留口出てすぐ,03-3571-3077,"月-土:9:00-22:00
日祭日:9:00-20:00",https://www.ginza-renoir.co.jp/shopsearch/shops/view/2018,TRUE,TRUE,TRUE,FALSE
13,マイ・スペース 新宿３丁目ビッグスビル店,東京都,新宿区,新宿2-19-1ビッグスビル地下2階,都営地下鉄新宿3丁目駅徒歩1分ビックスビル地下2階,03-5379-2766,"月-土：9：00-22：00
日祭日：9：00-19：30
月-土：10：00-22：00
日祭日：10：00-19：30",https://www.ginza-renoir.co.jp/shopsearch/shops/view/2103,TRUE,TRUE,TRUE,FALSE
14,マイ・スペース 新宿区役所横店,東京都,新宿区,歌舞伎町１丁目３−５相模ビル1階及び2階,JR新宿駅東口徒歩7分 新宿区役所真裏,03-3209-6175,"月-土：9：00-23：00
日曜日：9：00-22：00",https://www.ginza-renoir.co.jp/shopsearch/shops/view/2006,TRUE,TRUE,TRUE,FALSE
15,マイ・スペース 新宿小滝橋通り店,東京都,新宿区,西新宿7-9-7新宿ニッカビル1階,JR新宿駅西口小滝橋通り馬場方面徒歩3分,03-3364-1618,"月-土：9：00-22：00
日祭日：9：00-21：30",https://www.ginza-renoir.co.jp/shopsearch/shops/view/2123,TRUE,TRUE,TRUE,FALSE
16,マイ・スペース 新宿南口甲州街道店,東京都,新宿区,西新宿1-19-5新宿幸容ビルB1F,JR新宿南口徒歩5分甲州街道沿い,03-5381-5660,全日:9:00-22:00,https://www.ginza-renoir.co.jp/shopsearch/shops/view/2088,TRUE,TRUE,TRUE,FALSE
17,マイ・スペース 神田南口駅前店,東京都,千代田区,鍛冶町2-1-4東和ビル2階,JR神田駅南口を出てすぐ前,03-5289-8456,"月-土：9：00-22：00
日祭日：9：00-19：30",https://www.ginza-renoir.co.jp/shopsearch/shops/view/2122,TRUE,TRUE,TRUE,FALSE
18,マイ・スペース 西日暮里第一店,東京都,荒川区,西日暮里5-23-6ホワイトハウス2階,JR西日暮里駅東口駅前,03-3801-2230,全日：9：00-22：00,https://www.ginza-renoir.co.jp/shopsearch/shops/view/2045,TRUE,TRUE,TRUE,FALSE
19,マイ・スペース 川崎東口駅前店,神奈川県,川崎市,川崎区駅前本町11-1パシフィックマークス川崎2F,"JR川崎駅東口より徒歩2分
 
 京急川崎駅より徒歩3分",044-589-5730,全日：9：00-22：00,https://www.ginza-renoir.co.jp/shopsearch/shops/view/2020,TRUE,TRUE,TRUE,TRUE
20,マイ・スペース 巣鴨駅前店,東京都,豊島区,巣鴨1-15-1宮田ビル2階,JR巣鴨駅南口徒歩0分ロータリー左手パチンコ店2階,03-3942-9349,全日：9：00-22：00,https://www.ginza-renoir.co.jp/shopsearch/shops/view/2104,TRUE,TRUE,TRUE,FALSE
21,マイ・スペース 大久保店,東京都,新宿区,百人町1-18-8大久保角ビル2階,JR総武線大久保駅北口を左手へ大久保通り沿い、北新宿1丁目交差点の手前左手角徒歩1分,03-3368-2209,"月-金：9：00-22：00
土曜日：9：00-21：30
日祭日：9：00-21：30",https://www.ginza-renoir.co.jp/shopsearch/shops/view/2058,TRUE,TRUE,TRUE,FALSE
22,マイ・スペース 池袋パルコ横店,東京都,豊島区,東池袋1-42-8第一イン池袋ビル地下1階,JR池袋駅東口出て大通りから駅ビル「パルコ」左横の駅前「東京点心包家」角から左に入って30m,03-5957-7085,全日：9：00-22：00,https://www.ginza-renoir.co.jp/shopsearch/shops/view/2114,TRUE,TRUE,TRUE,FALSE
23,マイ・スペース 池袋西武横店,東京都,豊島区,南池袋1-16-20ぬかりやビル2階,JR池袋駅東口西武百貨店側から徒歩6分,03-5960-0056,"マイスペース 全日：8：30-22：00
ビジネスブース 全日：8：00-22：30",https://www.ginza-renoir.co.jp/shopsearch/shops/view/2002,TRUE,FALSE,TRUE,FALSE
24,マイ・スペース 中野北口店,東京都,中野区,中野5-61-2立見ビル2階,JR中野駅北口徒歩1分ロータリー右角路地入り1つ目角右折すぐ,03-3387-2982,全日：9：00-22：00,https://www.ginza-renoir.co.jp/shopsearch/shops/view/2071,TRUE,TRUE,TRUE,FALSE
25,マイ・スペース 日本橋高島屋前店,東京都,中央区,日本橋2-3-6日本土地ビル地下1階,地下鉄銀座線日本橋駅B3番出口でて左手の交差点を右折し日本橋南郵便局の前地下1階,03-3272-8048,"月-土:9:00-21:30
日祭日:9:00-20:30",https://www.ginza-renoir.co.jp/shopsearch/shops/view/2039,TRUE,TRUE,TRUE,FALSE
26,マイ・スペース 八重洲北口,東京都,中央区,八重洲１−７−４矢満登ビル３Ｆ、５Ｆ(１階Cafeルノアールニュー八重洲北口店),東京駅八重洲北口から外堀通りを渡り、八重洲北口通りに入りSMBC日興証券の並び,03-3510-7889,全日8:00-22:00,https://www.ginza-renoir.co.jp/shopsearch/shops/view/2089,TRUE,TRUE,TRUE,FALSE
27,マイ・スペース 飯田橋西口店,東京都,千代田区,富士見2-2-6今井ビル2階,JR総武線飯田橋駅西口を出て早稲田通を左へ2つ目交差点を渡り左手の2階,03-5226-6345,"月-土：9：00-22：00
日祭日：9：00-21：30",https://www.ginza-renoir.co.jp/shopsearch/shops/view/2077,TRUE,TRUE,TRUE,FALSE